"Organization","School"
"Alpha Epsilon Pi","University of Delaware"
"Alpha Epsilon Pi","University of Iowa"
"Alpha Epsilon Pi","University of Kansas"
"Alpha Epsilon Pi","University of Missouri"
"Alpha Epsilon Pi","University of North Texas"
"Alpha Epsilon Pi","University of Wisconsin Milwaukee"
"Alpha Gamma Delta","Appalachian State University"
"Alpha Gamma Delta","Arizona State University"
"Alpha Gamma Delta","Arkansas State University"
"Alpha Gamma Delta","California State University Chico"
"Alpha Gamma Delta","Eastern Michigan University"
"Alpha Gamma Delta","Florida State University"
"Alpha Gamma Delta","Georgia College and State University"
"Alpha Gamma Delta","High Point University"
"Alpha Gamma Delta","Illinois Wesleyan University"
"Alpha Gamma Delta","Indiana University"
"Alpha Gamma Delta","Iowa State University"
"Alpha Gamma Delta","Montana State University"
"Alpha Gamma Delta","Ohio University"
"Alpha Gamma Delta","Pittsburg State University"
"Alpha Gamma Delta","Rutgers University"
"Alpha Gamma Delta","San Diego State University"
"Alpha Gamma Delta","Sonoma State University"
"Alpha Gamma Delta","Southern Illinois University"
"Alpha Gamma Delta","Tarleton State University"
"Alpha Gamma Delta","Texas A&amp;M University Corpus Christi"
"Alpha Gamma Delta","Texas State University"
"Alpha Gamma Delta","Texas Womans University"
"Alpha Gamma Delta","Troy University"
"Alpha Gamma Delta","University of Alabama"
"Alpha Gamma Delta","University of Central Missouri"
"Alpha Gamma Delta","University of Georgia"
"Alpha Gamma Delta","University of Illinois at UC"
"Alpha Gamma Delta","University of Kansas"
"Alpha Gamma Delta","University of Kentucky"
"Alpha Gamma Delta","University of North Alabama"
"Alpha Gamma Delta","University of Oklahoma"
"Alpha Gamma Delta","University of South Alabama"
"Alpha Gamma Delta","University of Tennessee at Chattanooga"
"Alpha Gamma Delta","University of Washington"
"Alpha Gamma Delta","University of West Florida"
"Alpha Gamma Delta","University of West Georgia"
"Alpha Gamma Nu","University of Nebraska Lincoln"
"Alpha Gamma Rho","Abraham Baldwin Agricultural College"
"Alpha Gamma Rho","Arkansas State University"
"Alpha Gamma Rho","Auburn University"
"Alpha Gamma Rho","California State University Chico"
"Alpha Gamma Rho","Clemson University"
"Alpha Gamma Rho","Colorado State University"
"Alpha Gamma Rho","Louisiana State University"
"Alpha Gamma Rho","Louisiana Tech University"
"Alpha Gamma Rho","Mississippi State University"
"Alpha Gamma Rho","Murray State University"
"Alpha Gamma Rho","New Mexico State University"
"Alpha Gamma Rho","Northwest Missouri State University"
"Alpha Gamma Rho","Oklahoma State University"
"Alpha Gamma Rho","Purdue University"
"Alpha Gamma Rho","Southern Illinois University"
"Alpha Gamma Rho","Stephen F Austin University"
"Alpha Gamma Rho","Tarleton State University"
"Alpha Gamma Rho","Texas A&amp;M University"
"Alpha Gamma Rho","Texas Tech University"
"Alpha Gamma Rho","University of Arizona"
"Alpha Gamma Rho","University of Arkansas"
"Alpha Gamma Rho","University of Florida"
"Alpha Gamma Rho","University of Idaho"
"Alpha Gamma Rho","University of Kentucky"
"Alpha Gamma Rho","University of Minnesota"
"Alpha Gamma Rho","University of Nebraska Lincoln"
"Alpha Gamma Rho","University of Tennessee"
"Alpha Gamma Rho","University of Wyoming"
"Alpha Gamma Rho","Washington State University"
"Alpha Gamma Rho","Western Illinois University"
"Alpha Gamma Sigma","Tennessee Tech University"
"Alpha Gamma Sigma","University of Missouri"
"Alpha Gamma Sigma","University of Nebraska Lincoln"
"Alpha Kappa Alpha","Millikin University"
"Alpha Kappa Alpha","Mississippi State University"
"Alpha Kappa Alpha","University of Alabama"
"Alpha Kappa Alpha","University of Kentucky"
"Alpha Kappa Delta Phi","Baylor University"
"alpha Kappa Delta Phi","California Polytechnic State"
"Alpha Kappa Delta Phi","California State University San Marcos"
"Alpha Kappa Lambda","Arizona State University"
"Alpha Kappa Lambda","Boise State University"
"Alpha Kappa Lambda","Indiana University"
"Alpha Kappa Lambda","Kansas State University"
"Alpha Kappa Lambda","Mansfield University of Pennsylvania"
"Alpha Kappa Lambda","Northern Illinois University"
"Alpha Kappa Lambda","Northwest Missouri State University"
"Alpha Kappa Lambda","Old Dominion University"
"Alpha Kappa Lambda","Temple University"
"Alpha Kappa Lambda","University of Alabama"
"Alpha Kappa Lambda","University of Central Missouri"
"Alpha Kappa Lambda","University of Colorado"
"Alpha Kappa Lambda","University of Idaho"
"Alpha Kappa Lambda","University of Kansas"
"Alpha Kappa Lambda","University of Missouri"
"Alpha Kappa Lambda","University of Texas El Paso"
"Alpha Kappa Omicron","San Jose State University"
"Alpha Kappa Psi","Monmouth University"
"Alpha Nu Multicultural","Washington State University"
"Alpha of Clovia","Kansas State University"
"Alpha Omega Epsilon","Texas Tech University"
"Alpha Omega Epsilon","University of Missouri"
"Alpha Omicron Pi","Appalachian State University"
"Alpha Omicron Pi","Arkansas State University"
"Alpha Omicron Pi","Auburn University"
"Alpha Omicron Pi","Boise State University"
"Alpha Omicron Pi","California State University Chico"
"Alpha Omicron Pi","California State University Northridge"
"Alpha Omicron Pi","Cumberland University"
"Alpha Omicron Pi","East Carolina University"
"Alpha Omicron Pi","Eastern Kentucky University"
"Alpha Omicron Pi","Florida Southern College"
"Alpha Omicron Pi","Florida State University"
"Alpha Omicron Pi","George Mason University"
"Alpha Omicron Pi","Georgia College and State University"
"Alpha Omicron Pi","Georgia Southern University"
"Alpha Omicron Pi","Georgia State University"
"Alpha Omicron Pi","Grand Valley State"
"Alpha Omicron Pi","Indiana State University"
"Alpha Omicron Pi","Jacksonville State University"
"Alpha Omicron Pi","Kennesaw State University"
"Alpha Omicron Pi","Michigan State University"
"Alpha Omicron Pi","Middle Tennessee State University"
"Alpha Omicron Pi","Missouri State University"
"Alpha Omicron Pi","Monmouth University"
"Alpha Omicron Pi","Montana State University"
"Alpha Omicron Pi","Northeastern State University"
"Alpha Omicron Pi","Northern Arizona University"
"Alpha Omicron Pi","Northern Kentucky University"
"Alpha Omicron Pi","Ohio University"
"Alpha Omicron Pi","Oklahoma State University"
"Alpha Omicron Pi","Purdue University"
"Alpha Omicron Pi","Ramapo College of New Jersey"
"Alpha Omicron Pi","Sam Houston State University"
"Alpha Omicron Pi","Samford University"
"Alpha Omicron Pi","San Jose State University"
"Alpha Omicron Pi","Sonoma State University"
"Alpha Omicron Pi","Southeastern Louisiana University"
"Alpha Omicron Pi","Tarleton State University"
"Alpha Omicron Pi","Texas A&amp;M University"
"Alpha Omicron Pi","Texas Christian University"
"Alpha Omicron Pi","Texas Womans University"
"Alpha Omicron Pi","The Ohio State University"
"Alpha Omicron Pi","Troy University"
"Alpha Omicron Pi","University of Alabama"
"Alpha Omicron Pi","University of Alabama at Birmingham"
"Alpha Omicron Pi","University of Alabama Huntsville"
"Alpha Omicron Pi","University of Arkansas"
"Alpha Omicron Pi","University of Arkansas Fort Smith"
"Alpha Omicron Pi","University of California San Diego"
"Alpha Omicron Pi","University of Central Missouri"
"Alpha Omicron Pi","University of Connecticut"
"Alpha Omicron Pi","University of Florida"
"Alpha Omicron Pi","University of Kentucky"
"Alpha Omicron Pi","University of Louisiana at Lafayette"
"Alpha Omicron Pi","University of Louisville"
"Alpha Omicron Pi","University of Mississippi"
"Alpha Omicron Pi","University of Nebraska at Kearney"
"Alpha Omicron Pi","University of Nebraska Lincoln"
"Alpha Omicron Pi","University of Nevada Reno"
"Alpha Omicron Pi","University of Northern Colorado"
"Alpha Omicron Pi","University of Oklahoma"
"Alpha Omicron Pi","University of South Alabama"
"Alpha Omicron Pi","University of Tennessee"
"Alpha Omicron Pi","University of Tennessee Martin"
"Alpha Omicron Pi","University of Texas San Antonio"
"Alpha Omicron Pi","University of Washington"
"Alpha Omicron Pi","University of Wisconsin River Falls"
"Alpha Omicron Pi","USC Aiken"
"Alpha Omicron Pi","Vanderbilt University"
"Alpha Omicron Pi","Western Kentucky University"
"Alpha Omicron Pi","Wright State University"
"Alpha Omicron Pi","Youngstown State University"
"Alpha Phi","Appalachian State University"
"Alpha Phi","Arizona State University"
"Alpha Phi","Ashland University"
"Alpha Phi","Barry University"
"Alpha Phi","Baylor University"
"Alpha Phi","Bowling Green State University"
"Alpha Phi","California State University Chico"
"Alpha Phi","California State University Northridge"
"Alpha Phi","California State University Sacramento"
"Alpha Phi","Clemson University"
"Alpha Phi","Drake University"
"Alpha Phi","Duquesne University"
"Alpha Phi","Eastern Illinois University"
"Alpha Phi","Eastern Washington University"
"Alpha Phi","Florida State University"
"Alpha Phi","Iowa State University"
"Alpha Phi","James Madison University"
"Alpha Phi","Kent State University"
"Alpha Phi","Louisiana State University"
"Alpha Phi","Loyola Marymount University"
"Alpha Phi","Marquette University"
