"Organization","School"
"Chi Omega","University of North Carolina Greensboro"
"Chi Omega","University of North Texas"
"Chi Omega","University of Oklahoma"
"Chi Omega","University of South Alabama"
"Chi Omega","University of South Florida"
"Chi Omega","University of Tennessee "
"Chi Omega","University of Tennessee at Chattanooga"
"Chi Omega","University of Texas"
"Chi Omega","University of Washington"
"Chi Omega","University of West Georgia"
"Chi Omega","Valdosta State University"
"Chi Omega","Washington State University"
"Chi Omega","West Texas A&amp;M University"
"Chi Omega","Western Kentucky University"
"Chi Omega","Western Michigan University"
"Chi Phi","Arizona State University"
"Chi Phi","Central Michigan University"
"Chi Phi","Clemson University"
"Chi Phi","The Ohio State University"
"Chi Phi","University of Alabama"
"Chi Phi","University of North Carolina at Charlotte"
"Chi Phi","University of Tennessee"
"Chi Phi","University of Wisconsin La Crosse"
"Chi Psi","North Carolina State University"
"Chi Psi","Purdue University"
"Chi Psi","Texas Tech University"
"Chi Psi","University of Illinois at UC"
"Chi Psi","University of Kentucky"
"Chi Psi","University of Mississippi"
"Chi Sigma Omega","University of Illinois at Chicago"
"Clark College Athletics","Clark College"
"Club Lacrosse","Marquette University"
"Club Lax","Rowan University"
"CMDE","University of Arkansas"
"College Concierge","University of Arkansas"
"CoOp Housing","Purdue University"
"Corp of Cadets L1 Lonestar","Texas A&amp;M University"
"Crimson Edge","University of Alabama"
"CU Athletic Bands","Campbell University"
"CUC Athletics","Concordia University Chicago"
"Delta Alpha Sigma","University of Texas Arlington"
"Delta Chi","Appalachian State University"
"Delta Chi","Auburn University"
"Delta Chi","Bowling Green State University"
"Delta Chi","California State University Chico"
"Delta Chi","California State University Fullerton"
"Delta Chi","Colorado State University"
"Delta Chi","Embry-Riddle Aeronautical University"
"Delta Chi","Florida State University"
"Delta Chi","George Mason University"
"Delta Chi","Georgia Southern University"
"Delta Chi","Illinois State University"
"Delta Chi","Indiana University"
"Delta Chi","Iowa State University"
"Delta Chi","Kansas State University"
"Delta Chi","Kennesaw State University"
"Delta Chi","Louisiana State University"
"Delta Chi","Louisiana Tech University"
"Delta Chi","Mississippi State University"
"Delta Chi","Montclair State University"
"Delta Chi","Northern Illinois University"
"Delta Chi","Oklahoma State University"
"Delta Chi","Oregon State University"
"Delta Chi","Purdue University"
"Delta Chi","Tarleton State University"
"Delta Chi","Temple University"
"Delta Chi","Texas A&amp;M University Kingsville"
"Delta Chi","Texas Tech University"
"Delta Chi","The Ohio State University"
"Delta Chi","Troy University"
"Delta Chi","UC Riverside"
"Delta Chi","University of Alabama"
"Delta Chi","University of Arizona"
"Delta Chi","University of Central Missouri"
"Delta Chi","University of Central Oklahoma"
"Delta Chi","University of Florida"
"Delta Chi","University of Illinois at UC"
"Delta Chi","University of Iowa"
"Delta Chi","University of Missouri"
"Delta Chi","University of Nevada Las Vegas"
"Delta Chi","University of North Carolina at Charlotte"
"Delta Chi","University of Northern Colorado"
"Delta Chi","University of South Carolina Beaufort"
"Delta Chi","Valdosta State University"
"Delta Chi","Washington State University"
"Delta Delta Delta","Boise State University"
"Delta Delta Delta","California State University Long Beach"
"Delta Delta Delta","Clemson University"
"Delta Delta Delta","College of Charleston"
"Delta Delta Delta","Indiana University"
"Delta Delta Delta","Iowa State University"
"Delta Delta Delta","James Madison University"
"Delta Delta Delta","Kansas State University"
"Delta Delta Delta","Louisiana State University"
"Delta Delta Delta","Loyola Marymount University"
"Delta Delta Delta","Mississippi State University"
"Delta Delta Delta","Oklahoma State University"
"Delta Delta Delta","Purdue University"
"Delta Delta Delta","Samford University"
"Delta Delta Delta","Stephen F Austin University"
"Delta Delta Delta","Stetson University"
"Delta Delta Delta","Syracuse University"
"Delta Delta Delta","Texas A&amp;M University"
"Delta Delta Delta","Texas Christian University"
"Delta Delta Delta","Texas Tech University"
"Delta Delta Delta","The University of Tulsa"
"Delta Delta Delta","University of Alabama"
"Delta Delta Delta","University of Arizona"
"Delta Delta Delta","University of Arkansas"
"Delta Delta Delta","University of Georgia"
"Delta Delta Delta","University of Illinois at UC"
"Delta Delta Delta","University of Kentucky"
"Delta Delta Delta","University of Mississippi"
"Delta Delta Delta","University of Missouri"
"Delta Delta Delta","University of Nebraska Lincoln"
"Delta Delta Delta","University of Oklahoma"
"Delta Delta Delta","University of Tennessee"
"Delta Delta Delta","University of Toledo"
"Delta Delta Delta","University of Wisconsin Madison"
"Delta Delta Delta","Washington State University"
"Delta Delta Delta","Wichita State University"
"Delta Epsilon Mu","University of California Irvine"
"Delta Gamma","Auburn University"
"Delta Gamma","Bowling Green State University"
"Delta Gamma","California State University Long Beach"
"Delta Gamma","California State University Sacramento"
"Delta Gamma","Clemson University"
"Delta Gamma","Florida State University"
"Delta Gamma","Gettysburg College"
"Delta Gamma","Indiana State University"
"Delta Gamma","Indiana University"
"Delta Gamma","Iowa State University"
"Delta Gamma","James Madison University"
"Delta Gamma","Michigan State University"
"Delta Gamma","Mississippi State University"
"Delta Gamma","Northern Kentucky University"
"Delta Gamma","Ohio University"
"Delta Gamma","Oregon State University"
"Delta Gamma","Penn State University"
"Delta Gamma","Salisbury University"
"Delta Gamma","Southern Methodist University"
"Delta Gamma","Tennessee Tech University"
"Delta Gamma","Texas Christian University"
"Delta Gamma","Texas State University"
"Delta Gamma","Texas Tech University"
"Delta Gamma","University of Akron"
"Delta Gamma","University of Alabama"
"Delta Gamma","University of Alabama at Birmingham"
"Delta Gamma","University of Arkansas"
"Delta Gamma","University of Arkansas Fort Smith"
"Delta Gamma","University of California Merced"
"Delta Gamma","University of Connecticut"
"Delta Gamma","University of Illinois at UC"
"Delta Gamma","University of Iowa"
"Delta Gamma","University of Kansas"
"Delta Gamma","University of Kentucky"
"Delta Gamma","University of Missouri"
"Delta Gamma","University of North Florida"
"Delta Gamma","University of North Texas"
"Delta Gamma","University of Oklahoma"
"Delta Gamma","University of Tennessee"
"Delta Gamma","Virginia Tech"
"Delta Gamma","West Virginia University"
"Delta Kappa Epsilon","Indiana University"
"Delta Kappa Epsilon","Texas A&amp;M University"
"Delta Kappa Epsilon","Texas Tech University"
"Delta Kappa Epsilon","Troy University"
"Delta Kappa Epsilon","University of Colorado"
"Delta Kappa Epsilon","University of Minnesota"
"Delta Kappa Epsilon","University of Mississippi"
"Delta Kappa Epsilon","University of Missouri"
"Delta Kappa Epsilon","University of North Carolina Wilmington"
"Delta Lambda Phi","University of Arizona"
"Delta Phi Epsilon","Bridgewater State University"
"Delta Phi Epsilon","Campbell University"
"Delta Phi Epsilon","Carleton University"
"Delta Phi Epsilon","Central Michigan University"
"Delta Phi Epsilon","Georgia Southern University"
"Delta Phi Epsilon","Indiana University of Pennsylvania"
"Delta Phi Epsilon","Johnson &amp; Wales University"
"Delta Phi Epsilon","Johnson and Wales University Charlotte"
"Delta Phi Epsilon","Kennesaw State University"
"Delta Phi Epsilon","Kutztown University"
"Delta Phi Epsilon","Northern Arizona University"
"Delta Phi Epsilon","Penn State University"
"Delta Phi Epsilon","Rochester Institute of Technology"
"Delta Phi Epsilon","Rutgers University Camden"
"Delta Phi Epsilon","Saint Cloud State University"
"Delta Phi Epsilon","Seton Hall University"
"Delta Phi Epsilon","Southern Illinois University"
"Delta Phi Epsilon","Southern Illinois University Edwardsville"
"Delta Phi Epsilon","Stockton University"
"Delta Phi Epsilon","Tarleton State University"
"Delta Phi Epsilon","Temple University"
"Delta Phi Epsilon","Tennessee Tech University"
"Delta Phi Epsilon","Towson University"
"Delta Phi Epsilon","Truman State University"
"Delta Phi Epsilon","University of Florida"
"Delta Phi Epsilon","University of Georgia"
"Delta Phi Epsilon","University of Maine"
"Delta Phi Epsilon","University of Nebraska Omaha"
"Delta Phi Epsilon","University of North Georgia"
"Delta Phi Epsilon","University of Rhode Island"
"Delta Phi Epsilon","University of Toledo"
"Delta Phi Omega","University of Connecticut"
"Delta Sigma Phi","Arizona State University"
"Delta Sigma Phi","Boise State University"
"Delta Sigma Phi","California State University San Bernardino"
"Delta Sigma Phi","Chapman University"
"Delta Sigma Phi","Drexel University"
"Delta Sigma Phi","Eastern Michigan University"
"Delta Sigma Phi","Grand Valley State"
"Delta Sigma Phi","Indiana University"
"Delta Sigma Phi","Kansas State University"
"Delta Sigma Phi","Kennesaw State University"
"Delta Sigma Phi","La Salle University"
"Delta Sigma Phi","Missouri State University"
"Delta Sigma Phi","Missouri University of Science and Technology"
"Delta Sigma Phi","Oglethorpe University"
"Delta Sigma Phi","San Diego State University"
"Delta Sigma Phi","Texas Tech University"
"Delta Sigma Phi","University of Alabama"
"Delta Sigma Phi","University of Arizona"
"Delta Sigma Phi","University of Colorado"
"Delta Sigma Phi","University of Illinois at UC"
"Delta Sigma Phi","University of Kentucky"
"Delta Sigma Phi","University of North Carolina at Chapel Hill"
"Delta Sigma Phi","University of North Carolina at Charlotte"
"Delta Sigma Phi","University of North Carolina Greensboro"
"Delta Sigma Phi","University of North Carolina Wilmington"
"Delta Sigma Phi","University of North Florida"
"Delta Sigma Phi","University of North Texas"
"Delta Sigma Phi","University of Tennessee"
"Delta Sigma Phi","University of Utah"
"Delta Sigma Pi","California State University Chico"
"Delta Sigma Pi","Florida Atlantic University"
"Delta Sigma Pi","University of Washington"
"Delta Sigma Theta","Auburn University"
"Delta Sigma Theta","Bowling Green State University"
"Delta Sigma Theta","Western Michigan University"
"Delta Tau Delta","Appalachian State University"
"Delta Tau Delta","Arizona State University"
"Delta Tau Delta","Auburn University"
"Delta Tau Delta","Ball State University"
"Delta Tau Delta","California Polytechnic State"
"Delta Tau Delta","Eastern Illinois University"
"Delta Tau Delta","Florida Atlantic University"
"Delta Tau Delta","Georgia Southern University"
"Delta Tau Delta","Iowa State University"
"Delta Tau Delta","James Madison University"
"Delta Tau Delta","Kennesaw State University"
"Delta Tau Delta","Kent State University"
"Delta Tau Delta","Monmouth University"
"Delta Tau Delta","Moravian College"
"Delta Tau Delta","Morehead State University"
"Delta Tau Delta","Ohio University"
"Delta Tau Delta","Oklahoma State University"
"Delta Tau Delta","Sam Houston State University"
"Delta Tau Delta","Southeastern Louisiana University"
"Delta Tau Delta","Stephen F Austin University"
"Delta Tau Delta","Texas A&amp;M University"
"Delta Tau Delta","Texas A&amp;M University Commerce"
"Delta Tau Delta","Texas State University"
"Delta Tau Delta","Texas Tech University"
"Delta Tau Delta","University of Alabama"
"Delta Tau Delta","University of Arizona"
"Delta Tau Delta","University of California Riverside"
"Delta Tau Delta","University of Colorado"
"Delta Tau Delta","University of Idaho"
"Delta Tau Delta","University of Iowa"
"Delta Tau Delta","University of Maine"
"Delta Tau Delta","University of Mississippi"
"Delta Tau Delta","University of Missouri"
"Delta Tau Delta","University of Nebraska at Kearney"
"Delta Tau Delta","University of North Carolina Wilmington"
"Delta Tau Delta","University of Northern Colorado"
"Delta Tau Delta","University of Oklahoma"
"Delta Tau Delta","University of South Carolina"
"Delta Tau Delta","University of Southern Mississippi"
"Delta Tau Delta","University of Tennessee"
"Delta Tau Delta","University of Texas Dallas"
"Delta Tau Delta","University of Washington"
"Delta Tau Delta","University of West Florida"
"Delta Tau Sigma","Indiana University of Pennsylvania"
"Delta Upsilon","Indiana University"
"Delta Upsilon","Iowa State University"
"Delta Upsilon","Kansas State University"
"Delta Upsilon","Purdue University"
"Delta Upsilon","University of Florida"
"Delta Upsilon","University of Houston"
"Delta Upsilon","University of Iowa"
"Delta Upsilon","University of Louisville"
"Delta Upsilon","University of Missouri"
"Delta Upsilon","University of Nebraska Lincoln"
"Delta Upsilon","University of North Dakota"
"Delta Upsilon","University of North Florida"
"Delta Upsilon","University of South Carolina"
"Delta Upsilon","University of Tennessee"
"Delta Upsilon","University of Texas"
"Delta Upsilon","Washington State University"
"Delta Upsilon","Wichita State University"
"Delta Xi Delta","Montclair State University"
"Delta Zeta","Angelo State University"
"Delta Zeta","Appalachian State University"
"Delta Zeta","Arizona State University"
"Delta Zeta","Arkansas State University"
"Delta Zeta","Arkansas Tech University"
"Delta Zeta","Auburn University"
"Delta Zeta","Bryant University"
"Delta Zeta","California State University Fresno"
"Delta Zeta","California State University Fullerton"
"Delta Zeta","California State University Los Angeles"
"Delta Zeta","Central Michigan University"
"Delta Zeta","Clarkson University"
"Delta Zeta","Clemson University"
"Delta Zeta","Concord University"
"Delta Zeta","East Carolina University"
"Delta Zeta","Eastern Illinois University"
"Delta Zeta","Eastern Kentucky University"
"Delta Zeta","Eastern Michigan University"
"Delta Zeta","Florida State University"
"Delta Zeta","Georgia State University"
"Delta Zeta","Grand Valley State"
"Delta Zeta","Indiana University of Pennsylvania"
"Delta Zeta","Indiana University Purdue University Indianapolis"
"Delta Zeta","Johnson &amp; Wales University"
"Delta Zeta","Kent State University"
"Delta Zeta","Kutztown University"
"Delta Zeta","Lenoir Rhyne University"
"Delta Zeta","Louisiana State University"
"Delta Zeta","Marshall University"
"Delta Zeta","Missouri State University"
"Delta Zeta","Morehead State University"
"Delta Zeta","Nebraska Wesleyan University"
"Delta Zeta","Nicholls State University"
"Delta Zeta","Northern Illinois University"
"Delta Zeta","Northern Kentucky University"
"Delta Zeta","Purdue University"
"Delta Zeta","Radford University"
"Delta Zeta","Saint Cloud State University"
"Delta Zeta","Shepherd University"
"Delta Zeta","Shippensburg University"
"Delta Zeta","Southern Illinois University"
"Delta Zeta","St Mary University"
"Delta Zeta","Stockton University"
"Delta Zeta","Temple University"
"Delta Zeta","Texas State University"
"Delta Zeta","The Ohio State University"
"Delta Zeta","Truman State University"
"Delta Zeta","University of Akron"
"Delta Zeta","University of Alabama"
"Delta Zeta","University of Central Arkansas"
"Delta Zeta","University of Central Missouri"
"Delta Zeta","University of Central Oklahoma"
"Delta Zeta","University of Connecticut"
"Delta Zeta","University of Denver"
"Delta Zeta","University of Georgia"
"Delta Zeta","University of Houston"
"Delta Zeta","University of Illinois at UC"
"Delta Zeta","University of Iowa"
"Delta Zeta","University of Kentucky"
"Delta Zeta","University of Maine"
"Delta Zeta","University of Missouri Kansas City"
"Delta Zeta","University of Missouri St Louis"
"Delta Zeta","University of North Carolina at Charlotte"
"Delta Zeta","University of North Carolina Wilmington"
"Delta Zeta","University of Pittsburgh"
"Delta Zeta","University of Rhode Island"
"Delta Zeta","University of San Francisco"
"Delta Zeta","University of South Carolina"
"Delta Zeta","University of South Carolina Upstate"
"Delta Zeta","University of Southern Indiana"
"Delta Zeta","University of Tampa"
"Delta Zeta","University of Tennessee"
"Delta Zeta","University of Tennessee at Chattanooga"
"Delta Zeta","University of Texas Arlington"
"Delta Zeta","University of Washington"
"Delta Zeta","University of Wisconsin Eau Claire"
"Delta Zeta","Wayne State University"
"Delta Zeta","West Chester University"
"Delta Zeta","West Texas A&amp;M University"
"Delta Zeta","Western Illinois University"
"Delta Zeta","Western Kentucky University"
"Diamond Sweethearts","Texas State University"
"Dixie Alpha","North Carolina State University"
"Draper University","Draper University"
"Emerging Scholars","Clemson University"
"Epsilon Eta","University of Pittsburgh"
"Epsilon Nu Tau","Central Michigan University"
"Epsilon Nu Tau","James Madison University"
"Evan Scholar","University of Washington"
"FAMU/FSU NROTC","Florida State University"
"FarmHouse","Auburn University"
"FarmHouse","Clemson University"
"FarmHouse","Colorado State University"
"FarmHouse","Tarleton State University"
"FarmHouse","Texas Tech University"
"FarmHouse","Troy University"
"FarmHouse","University of Idaho"
"FarmHouse","University of Kentucky"
"FarmHouse","University of Minnesota"
"FarmHouse","University of Missouri"
"FarmHouse","University of Tennessee"
"FarmHouse","Western Kentucky University"
"Fiji Rec Hours","University of Missouri"
"Florida Poly","Florida Polytechnic University"
"FSL at UNL","University of Nebraska Lincoln"
"Gamma Phi Beta","Alma College"
"Gamma Phi Beta","Auburn University"
"Gamma Phi Beta","Bradley University"
"Gamma Phi Beta","California State University Chico"
"Gamma Phi Beta","California State University Fullerton"
"Gamma Phi Beta","Chapman University"
"Gamma Phi Beta","Christopher Newport University"
"Gamma Phi Beta","Coastal Carolina University"
"Gamma Phi Beta","Colorado State University"
"Gamma Phi Beta","Creighton University"
"Gamma Phi Beta","Duquesne University"
"Gamma Phi Beta","Florida State University"
"Gamma Phi Beta","George Mason University"
"Gamma Phi Beta","Grand Valley State"
"Gamma Phi Beta","Indiana State University"
"Gamma Phi Beta","Iowa State University"
"Gamma Phi Beta","James Madison University"
"Gamma Phi Beta","Kansas State University"
"Gamma Phi Beta","McGill University"
"Gamma Phi Beta","Miami University"
"Gamma Phi Beta","Michigan State University"
"Gamma Phi Beta","Minnesota State University"
"Gamma Phi Beta","Missouri State University"
"Gamma Phi Beta","Morehead State University"
"Gamma Phi Beta","Oakland University"
"Gamma Phi Beta","Ohio University"
"Gamma Phi Beta","Oklahoma State University"
"Gamma Phi Beta","Purdue University"
"Gamma Phi Beta","Quinnipiac University"
"Gamma Phi Beta","Rockhurst University"
"Gamma Phi Beta","Rutgers University"
"Gamma Phi Beta","Sacramento State University"
"Gamma Phi Beta","Saint Louis University"
"Gamma Phi Beta","Sonoma State University"
"Gamma Phi Beta","Southeast Missouri State University"
"Gamma Phi Beta","Southern Methodist University"
"Gamma Phi Beta","St Louis University"
"Gamma Phi Beta","Texas A&amp;M University"
"Gamma Phi Beta","Texas A&amp;M University Commerce"
"Gamma Phi Beta","Texas A&amp;M University Corpus Christi"
"Gamma Phi Beta","Texas Christian University"
"Gamma Phi Beta","Texas State University"
"Gamma Phi Beta","The Ohio State University"
"Gamma Phi Beta","UC Riverside"
"Gamma Phi Beta","University of Alabama"
"Gamma Phi Beta","University of Arizona"
"Gamma Phi Beta","University of Arkansas Fort Smith"
"Gamma Phi Beta","University of California Santa Barbara"
"Gamma Phi Beta","University of Central Florida"
"Gamma Phi Beta","University of Cincinnati"
"Gamma Phi Beta","University of Colorado"
"Gamma Phi Beta","University of Connecticut"
"Gamma Phi Beta","University of Denver"
"Gamma Phi Beta","University of Detroit Mercy"
"Gamma Phi Beta","University of Florida"
"Gamma Phi Beta","University of Georgia"
"Gamma Phi Beta","University of Illinois at UC"
"Gamma Phi Beta","University of Iowa"
"Gamma Phi Beta","University of Kansas"
"Gamma Phi Beta","University of Maryland College Park"
"Gamma Phi Beta","University of Michigan Ann Arbor"
"Gamma Phi Beta","University of Minnesota"
"Gamma Phi Beta","University of Missouri"
"Gamma Phi Beta","University of Nebraska Lincoln"
"Gamma Phi Beta","University of North Dakota"
"Gamma Phi Beta","University of Oklahoma"
"Gamma Phi Beta","University of Puget Sound"
"Gamma Phi Beta","University of South Carolina"
"Gamma Phi Beta","University of Southern Indiana"
"Gamma Phi Beta","University of Tennessee at Chattanooga"
"Gamma Phi Beta","University of Virginia"
"Gamma Phi Beta","University of Washington"
"Gamma Phi Beta","University of Wisconsin Oshkosh"
"Gamma Phi Beta","Valparaiso University"
"Gamma Phi Beta","Wichita State University"
"Gamma Phi Beta","Wittenberg University"
"Gamma Zeta Alpha","California Polytechnic State"
"Gamma Zeta Alpha","Colorado State University"
"Gamma Zeta Alpha","University of California Los Angeles"
"Gemini Cooperative","Purdue University"
"Golf","University of Tennessee at Chattanooga"
"Government Organization","University Of Sindh"
"Greek Life","University of West Alabama"
"GYM HOURS","California State University Chico"
"Higginbotham","Higginbotham"
"Homecoming","University of Oklahoma"
"Homecoming Float","University of Oklahoma"
"Honors in Business Assocation","University of Connecticut"
"Hospital","Keystone College"
"IC Scholars","University of Nebraska Lincoln"
"IFC","Saint Francis University"
"Interfraternity Council","University of North Carolina at Pembroke"
"Iota Phi XI","University of North Alabama"
"ISC","Saint Francis University"
"IT Department","Indiana University of Pennsylvania"
"IWU Football","Indiana Wesleyan University"
"JHU Lacrosse","Johns Hopkins University"
"Kappa Alpha","Arizona State University"
"Kappa Alpha","Arkansas Tech University"
"Kappa Alpha","Auburn University"
"Kappa Alpha","Baylor University"
"Kappa Alpha","Clemson University"
"Kappa Alpha","Coastal Carolina University"
"Kappa Alpha","College of Charleston"
"Kappa Alpha","Eastern Kentucky University"
"Kappa Alpha","Elon University"
"Kappa Alpha","Florida Gulf Coast University"
"Kappa Alpha","Francis Marion University"
"Kappa Alpha","George Mason University"
"Kappa Alpha","Georgia College and State University"
"Kappa Alpha","Georgia Southern University"
"Kappa Alpha","James Madison University"
"Kappa Alpha","Kennesaw State University"
"Kappa Alpha","Lamar University"
"Kappa Alpha","McNeese State University"
"Kappa Alpha","Mercer University"
"Kappa Alpha","Middle Tennessee State University"
"Kappa Alpha","Midwestern State University"
"Kappa Alpha","Millsaps College"
"Kappa Alpha","Mississippi State University"
"Kappa Alpha","Missouri State University"
"Kappa Alpha","Murray State University"
"Kappa Alpha","Oklahoma State University"
"Kappa Alpha","Old Dominion University"
"Kappa Alpha","Randolph-Macon College"
"Kappa Alpha","Rhodes College"
"Kappa Alpha","Sam Houston State University"
"Kappa Alpha","San Diego State University"
"Kappa Alpha","Southeastern Louisiana University"
"Kappa Alpha","Southern Illinois University"
"Kappa Alpha","Stephen F Austin University"
"Kappa Alpha","Tennessee Tech University"
"Kappa Alpha","Texas State University"
"Kappa Alpha","Texas Tech University"
"Kappa Alpha","University of Arkansas"
"Kappa Alpha","University of Arkansas at Monticello"
"Kappa Alpha","University of Arkansas Fort Smith"
"Kappa Alpha","University of Georgia"
"Kappa Alpha","University of Kentucky"
"Kappa Alpha","University of Louisiana at Lafayette"
"Kappa Alpha","University of Memphis"
"Kappa Alpha","University of Missouri"
"Kappa Alpha","University of Nevada Reno"
"Kappa Alpha","University of North Carolina at Chapel Hill"
"Kappa Alpha","University of North Florida"
"Kappa Alpha","University of North Texas"
"Kappa Alpha","University of Oklahoma"
"Kappa Alpha","University of South Alabama"
"Kappa Alpha","University of Tennessee"
"Kappa Alpha","University of Tennessee at Chattanooga"
"Kappa Alpha","University of Texas"
"Kappa Alpha","University of Washington"
"Kappa Alpha","University of West Florida"
"Kappa Alpha","University of West Georgia"
"Kappa Alpha","Virginia Tech"
"Kappa Alpha","West Texas A&amp;M University"
"Kappa Alpha","West Virginia University"
"Kappa Alpha","West Virginia Wesleyan College"
"Kappa Alpha","Western Kentucky University"
"Kappa Alpha Psi","Southeastern Louisiana University"
"Kappa Alpha Psi","University of Alabama"
"Kappa Alpha Theta","Auburn University"
"Kappa Alpha Theta","Baylor University"
"Kappa Alpha Theta","California Polytechnic State"
"Kappa Alpha Theta","California State University Fresno"
"Kappa Alpha Theta","Colorado State University"
"Kappa Alpha Theta","Dickinson College"
"Kappa Alpha Theta","Eastern Kentucky University"
"Kappa Alpha Theta","Florida State University"
"Kappa Alpha Theta","Iowa State University"
"Kappa Alpha Theta","James Madison University"
"Kappa Alpha Theta","Johns Hopkins University"
"Kappa Alpha Theta","Louisiana State University"
"Kappa Alpha Theta","McGill University"
"Kappa Alpha Theta","North Carolina State University"
"Kappa Alpha Theta","North Dakota State University"
"Kappa Alpha Theta","Penn State University"
"Kappa Alpha Theta","Randolph-Macon College"
"Kappa Alpha Theta","Texas Tech University"
"Kappa Alpha Theta","Tulane University"
"Kappa Alpha Theta","University of Alabama"
"Kappa Alpha Theta","University of Arizona"
"Kappa Alpha Theta","University of Delaware"
"Kappa Alpha Theta","University of Illinois at UC"
"Kappa Alpha Theta","University of Louisville"
"Kappa Alpha Theta","University of Minnesota"
"Kappa Alpha Theta","University of Mississippi"
"Kappa Alpha Theta","University of Missouri"
"Kappa Alpha Theta","University of Nebraska Lincoln"
"Kappa Alpha Theta","University of Nevada Reno"
"Kappa Alpha Theta","University of North Dakota"
"Kappa Alpha Theta","University of Texas"
"Kappa Alpha Theta","University of Washington"
"Kappa Beta Gamma","University of Louisiana Monroe"
"Kappa Delta","Auburn University"
"Kappa Delta","Ball State University"
"Kappa Delta","College of Charleston"
"Kappa Delta","East Carolina University"
"Kappa Delta","Eastern Kentucky University"
"Kappa Delta","Florida State University"
"Kappa Delta","Furman University"
"Kappa Delta","Georgia Southern University"
"Kappa Delta","Indiana University"
"Kappa Delta","Kansas State University"
"Kappa Delta","Louisiana State University"
"Kappa Delta","Mississippi State University"
"Kappa Delta","Oklahoma State University"
"Kappa Delta","Tennessee Tech University"
"Kappa Delta","Texas A&amp;M University"
"Kappa Delta","Texas Tech University"
"Kappa Delta","Troy University"
"Kappa Delta","University of Alabama"
"Kappa Delta","University of Alabama at Birmingham"
"Kappa Delta","University of Arkansas"
"Kappa Delta","University of Kentucky"
"Kappa Delta","University of Nebraska Lincoln"
"Kappa Delta","University of North Carolina at Charlotte"
"Kappa Delta","University of North Dakota"
"Kappa Delta","University of North Texas"
"Kappa Delta","University of Pittsburgh"
"Kappa Delta","University of South Alabama"
"Kappa Delta","University of Southern Mississippi"
"Kappa Delta","University of Tennessee"
"Kappa Delta","University of Tennessee at Chattanooga"
"Kappa Delta","University of Texas"
"Kappa Delta","University of West Florida"
"Kappa Delta","University of West Georgia"
"Kappa Delta Chi","Oklahoma State University"
"Kappa Delta Chi","Texas A&amp;M University Commerce"
"Kappa Delta Chi","Texas Tech University"
"Kappa Delta Chi","University of Arizona"
"Kappa Delta Rho","Indiana University"
"Kappa Delta Rho","Indiana University of Pennsylvania"
"Kappa Delta Rho","Purdue University"
"Kappa Delta Rho","Tarleton State University"
"Kappa Delta Rho","University of Delaware"
"Kappa Delta Rho","University of North Carolina Greensboro"
"Kappa Delta Rho","Virginia Commonwealth University"
"Kappa Kappa Gamma","Arizona State University"
"Kappa Kappa Gamma","Auburn University"
"Kappa Kappa Gamma","Clemson University"
"Kappa Kappa Gamma","Colorado State University"
"Kappa Kappa Gamma","Georgia Southern University"
"Kappa Kappa Gamma","Miami University"
"Kappa Kappa Gamma","Oklahoma State University"
"Kappa Kappa Gamma","Oregon State University"
"Kappa Kappa Gamma","Purdue University"
"Kappa Kappa Gamma","Southern Methodist University"
"Kappa Kappa Gamma","The George Washington University"
"Kappa Kappa Gamma","University of Alabama"
"Kappa Kappa Gamma","University of Arizona"
"Kappa Kappa Gamma","University of Illinois at UC"
"Kappa Kappa Gamma","University of Iowa"
"Kappa Kappa Gamma","University of Kentucky"
"Kappa Kappa Gamma","University of Mississippi"
"Kappa Kappa Gamma","University of Missouri"
"Kappa Kappa Gamma","University of North Carolina at Chapel Hill"
"Kappa Kappa Gamma","University of Pittsburgh"
"Kappa Kappa Gamma","University of South Carolina"
"Kappa Kappa Gamma","Washington State University"
"Kappa Lambda Delta","Texas Christian University"
"Kappa Phi Gamma","Temple University"
"Kappa Phi Lambda","University of Connecticut"
"Kappa Psi","North Dakota State University"
"Kappa Psi Epsilon","San Francisco State University"
"Kappa Sigma","Arkansas State University"
"Kappa Sigma","Arkansas Tech University"
"Kappa Sigma","California State University Chico"
"Kappa Sigma","California State University Northridge"
"Kappa Sigma","Central Michigan University"
"Kappa Sigma","Christian Brothers University"
"Kappa Sigma","East Tennessee State University"
"Kappa Sigma","Eastern Washington University"
"Kappa Sigma","Florida Atlantic University"
"Kappa Sigma","Florida Gulf Coast University"
"Kappa Sigma","Florida State University"
"Kappa Sigma","Georgia Southern University"
"Kappa Sigma","Georgia Tech"
"Kappa Sigma","Grand Valley State"
"Kappa Sigma","Indiana University"
"Kappa Sigma","Indiana University of Pennsylvania"
"Kappa Sigma","Iowa State University"
"Kappa Sigma","Kansas State University"
"Kappa Sigma","Kennesaw State University"
"Kappa Sigma","Louisiana Tech University"
"Kappa Sigma","Marquette University"
"Kappa Sigma","McNeese State University"
"Kappa Sigma","Midwestern State University"
"Kappa Sigma","Mississippi State University"
"Kappa Sigma","Missouri State University"
"Kappa Sigma","Monmouth University"
"Kappa Sigma","Montana State University"
"Kappa Sigma","Northeastern State University"
"Kappa Sigma","Northwestern State University"
"Kappa Sigma","Oklahoma City University"
"Kappa Sigma","Oklahoma State University"
"Kappa Sigma","Sacramento State University"
"Kappa Sigma","Sam Houston state university"
"Kappa Sigma","Southeastern Louisiana University"
"Kappa Sigma","Southern Methodist University"
"Kappa Sigma","Stephen F Austin University"
